 Link ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
1,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91,
2,-23.72,-23.72,-23.72,-23.72,-23.72,-23.72,-23.72,-23.72,-23.72,-23.72,-23.72,
3,-36.93,-36.93,-36.93,-36.93,-36.93,-36.93,-36.93,-36.93,-36.93,-36.93,-36.93,
4,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,
5,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,65.61,
6,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,
7,-34.33,-34.33,-34.33,-34.33,-34.33,-34.33,-34.33,-34.33,-34.33,-34.33,-34.33,
9,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,20.96,
10,26.65,26.65,26.65,26.65,26.65,26.65,26.65,26.65,26.65,26.65,26.65,
11,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,
12,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,
13,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,
14,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,
15,-6.97,-6.97,-6.97,-6.97,-6.97,-6.97,-6.97,-6.97,-6.97,-6.97,-6.97,
16,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,
17,35.63,35.64,35.64,35.64,35.64,35.64,35.64,35.64,35.64,35.64,35.64,
18,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,
19,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,
21,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,
22,18.32,18.32,18.32,18.32,18.32,18.32,18.32,18.32,18.32,18.32,18.32,
23,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,
24,15.23,15.22,15.22,15.22,15.22,15.22,15.22,15.22,15.22,15.22,15.22,
25,-2.38,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,
