 Link ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
1,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,
2,-24.20,-24.20,-24.20,-24.20,-24.20,-24.20,-24.20,-24.20,-24.20,-24.20,-24.20,
3,-36.69,-36.69,-36.69,-36.69,-36.69,-36.69,-36.69,-36.69,-36.69,-36.69,-36.69,
4,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,
5,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,
6,50.58,50.58,50.58,50.58,50.58,50.58,50.58,50.58,50.58,50.58,50.58,
7,-34.20,-34.21,-34.21,-34.21,-34.21,-34.21,-34.21,-34.21,-34.21,-34.21,-34.21,
9,20.77,20.77,20.77,20.77,20.77,20.77,20.77,20.77,20.77,20.77,20.77,
10,26.54,26.54,26.54,26.54,26.54,26.54,26.54,26.54,26.54,26.54,26.54,
11,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,
12,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,
13,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,
14,15.65,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66,15.66,
15,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,
16,13.13,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,
17,35.63,35.64,35.64,35.64,35.64,35.64,35.64,35.64,35.64,35.64,35.64,
18,10.07,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,
19,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,
21,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,
22,18.32,18.32,18.32,18.32,18.32,18.32,18.32,18.32,18.32,18.32,18.32,
23,10.94,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,
24,15.22,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,
25,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,
26,20.32,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,
27,4.03,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,
28,-14.89,-14.90,-14.90,-14.90,-14.90,-14.90,-14.90,-14.90,-14.90,-14.90,-14.90,
29,13.20,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,
30,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,
31,31.30,31.31,31.31,31.31,31.31,31.31,31.31,31.31,31.31,31.31,31.31,
32,-11.42,-11.42,-11.42,-11.42,-11.42,-11.42,-11.42,-11.42,-11.42,-11.42,-11.42,
33,26.67,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,
34,-15.58,-15.58,-15.58,-15.58,-15.58,-15.58,-15.58,-15.58,-15.58,-15.58,-15.58,
35,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,
37,74.84,74.85,74.85,74.85,74.85,74.85,74.85,74.85,74.85,74.85,74.85,
38,-23.31,-23.31,-23.31,-23.31,-23.31,-23.31,-23.31,-23.31,-23.31,-23.31,-23.31,
39,90.81,90.81,90.81,90.81,90.81,90.81,90.81,90.81,90.81,90.81,90.81,
40,-67.47,-67.48,-67.48,-67.48,-67.48,-67.48,-67.48,-67.48,-67.48,-67.48,-67.48,
41,116.68,116.68,116.68,116.68,116.68,116.68,116.68,116.68,116.68,116.68,116.68,
42,121.64,121.64,121.64,121.64,121.64,121.64,121.64,121.64,121.64,121.64,121.64,
43,126.40,126.40,126.40,126.40,126.40,126.40,126.40,126.40,126.40,126.40,126.40,
44,117.57,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,
45,189.23,189.23,189.23,189.23,189.23,189.23,189.23,189.23,189.23,189.23,189.23,
46,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,73.15,
47,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.05,
48,34.39,34.40,34.40,34.40,34.40,34.40,34.40,34.40,34.40,34.40,34.40,
49,64.65,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,64.64,
51,105.64,105.64,105.64,105.64,105.64,105.64,105.64,105.64,105.64,105.64,105.64,
