Id,latitude,longitude,# Result,Label,Weight
1,55.75591,173.639309,-0.07436,23.5,0.07436
2,59.452707,173.415922,-0.07436,23.5,0.07436
3,59.283112,169.492621,-0.07436,28,0.07436
4,56.481197,169.687955,-0.07437,43.5,0.07437
5,54.592204,170.327985,-0.07437,43.5,0.07437
6,49.681185,171.263093,-0.07436,28,0.07436
7,49.721779,174.129722,-0.07438,56,0.07438
8,46.936101,171.217377,-0.07438,56,0.07438
9,44.08006,171.198675,-0.07437,43.5,0.07437
10,43.98985,174.15258,-0.07438,61,0.07438
11,40.395893,168.770509,-0.07437,32,0.07437
12,38.302124,172.472501,-0.07437,43.5,0.07437
13,60.64528,136.646402,-0.08251,108,0.08251
14,37.691404,166.46079,-0.07437,43.5,0.07437
15,35.819551,168.993896,-0.07436,23.5,0.07436
16,28.549546,171.732726,-0.07437,43.5,0.07437
17,30.812909,170.063037,-0.07437,43.5,0.07437
18,34.110978,166.702879,-0.07437,43.5,0.07437
19,36.240831,164.563558,-0.07438,56,0.07438
20,38.860523,161.980579,-0.07437,43.5,0.07437
21,42.424711,164.89708,-0.07437,32,0.07437
22,44.743102,165.085141,-0.07438,61,0.07438
23,47.345654,165.365674,-0.07437,43.5,0.07437
24,49.853485,165.525681,-0.07437,32,0.07437
25,53.827226,165.634777,-0.07437,32,0.07437
26,56.521791,165.581788,-0.07436,23.5,0.07436
27,59.219064,165.51633,-0.07435,20,0.07435
28,64.049797,165.01241,-0.07431,18,0.07431
29,65.834146,158.402229,-0.07423,17,0.07423
30,63.140482,157.933636,-0.0742,16,0.0742
31,59.047665,157.930519,-0.0744,63.5,0.0744
32,59.157721,162.096949,-0.07437,43.5,0.07437
33,56.520889,161.993048,-0.07437,43.5,0.07437
34,61.187441,165.429053,-0.07433,19,0.07433
35,53.812792,161.869405,-0.07436,28,0.07436
36,51.032527,161.787324,-0.07437,43.5,0.07437
37,47.816549,161.570171,-0.07437,43.5,0.07437
38,44.716039,160.862605,-0.07437,43.5,0.07437
39,41.007515,158.562237,-0.07438,56,0.07438
40,42.633095,154.394768,-0.07438,56,0.07438
41,46.730423,156.79592,-0.07437,43.5,0.07437
42,49.010926,157.619855,-0.07438,56,0.07438
43,51.297744,157.725834,-0.07438,61,0.07438
44,53.884058,157.925324,-0.0744,63.5,0.0744
45,56.52991,157.914934,-0.07441,65,0.07441
46,58.898819,154.673223,-0.07452,68,0.07452
47,56.604784,154.585946,-0.07448,66.5,0.07448
48,53.917435,154.502825,-0.07448,66.5,0.07448
49,51.633324,153.927214,-0.07437,32,0.07437
50,48.554464,153.305886,-0.07438,56,0.07438
51,44.464354,150.807067,-0.07437,43.5,0.07437
52,46.107976,147.58302,-0.07515,74.5,0.07515
53,69.24588,159.149278,-0.06773,8,0.06773
54,50.198989,149.780526,-0.07514,73,0.07514
55,52.055506,150.114048,-0.07511,72,0.07511
56,54.05275,150.535886,-0.07509,71,0.07509
57,56.648085,150.461077,-0.07507,70,0.07507
58,58.822141,150.320811,-0.07496,69,0.07496
59,63.514853,150.304187,-0.07349,13,0.07349
60,63.339846,154.363598,-0.07387,14,0.07387
61,66.553118,155.858733,-0.06773,6.5,0.06773
62,71.364005,162.088636,-0.06773,2,0.06773
