Source,Target,Rank,Weight-Old,Weight
2,1,80,0.00076,0.00076
2,3,118,-0.00075,0.00075
4,3,123,-0.00151,0.00151
1,4,79,0.00077,0.00077
4,5,72,0.00177,0.00177
5,6,73,0.00176,0.00176
7,6,116,-0.00061,0.00061
6,8,77,0.00094,0.00094
8,9,82,0.00064,0.00064
7,10,83,0.00056,0.00056
9,10,112,-0.000303,0.000303
10,12,91,0.00032,0.00032
9,11,94,0.00022,0.00022
12,11,105,1.90E-05,0.000019
11,14,119,-0.00077,0.00077
80,13,7,0.32997,0.32997
14,15,65,0.00264,0.00264
12,15,97,0.00017,0.00017
16,17,106,1.10E-05,0.000011
18,17,107,0,0
15,18,75,0.00119,0.00119
19,18,129,-0.00299,0.00299
14,19,134,-0.004492,0.004492
20,19,86,0.00048,0.00048
21,20,64,0.002753,0.002753
11,21,76,0.00106,0.00106
22,21,74,0.00145,0.00145
22,9,117,-0.000676,0.000676
23,22,81,0.00073,0.00073
8,23,90,0.00032,0.00032
24,23,78,0.00085,0.00085
6,24,96,0.00021,0.00021
25,89,68.5,0.00186,0.00186
26,25,67,0.00186,0.00186
4,26,84,0.00051,0.00051
27,85,63,0.00341,0.00341
3,27,126,-0.00228,0.00228
28,34,58,0.0105,0.0105
29,28,58,0.0105,0.0105
30,29,58,0.0105,0.0105
30,31,38,0.0444,0.0444
31,32,137,-0.0051,0.0051
32,27,136,-0.00486,0.00486
32,33,111,-0.0003,0.0003
33,26,125,-0.00207,0.00207
33,35,71,0.00178,0.00178
34,27,56,0.0105,0.0105
35,36,70,0.00178,0.00178
36,24,122,-0.00122,0.00122
36,37,115,-0.00055,0.00055
37,23,113,-0.00044,0.00044
37,38,88,0.00038,0.00038
38,21,89,0.00033,0.00033
38,39,60,0.00511,0.00511
39,20,127,-0.00229,0.00229
40,39,140,-0.00726,0.00726
41,40,53,0.01326,0.01326
41,38,61,0.00508,0.00508
42,41,135,-0.00485,0.00485
42,37,85,0.0005,0.0005
111,42,132.5,-0.0044,0.0044
43,36,131,-0.00354,0.00354
44,43,138.5,-0.0054,0.0054
45,44,138.5,-0.0054,0.0054
31,45,52,0.0139,0.0139
46,31,149,-0.0357,0.0357
46,47,143.5,-0.0193,0.0193
47,45,143.5,-0.0193,0.0193
47,48,114,-0.000445,0.000445
49,43,128,-0.00261,0.00261
49,50,66,0.00262,0.00262
50,41,55,0.01118,0.01118
50,51,145,-0.01936,0.01936
51,40,141,-0.010229,0.010229
54,52,47,0.024952,0.024952
62,53,100,0.000143,0.000143
55,54,31,0.06051,0.06051
56,55,30,0.06082,0.06082
57,56,29,0.060993,0.060993
58,57,20,0.13473,0.13473
58,46,154,-0.055,0.055
59,58,13,0.2197,0.2197
60,30,34.5,0.055,0.055
59,60,34.5,0.055,0.055
53,61,87,0.000397,0.000397
63,106,121,-0.000792,0.000792
109,75,99,0.00015,0.00015
64,94,110,-0.00028,0.00028
110,64,120,-0.00078,0.00078
110,59,11,0.2747,0.2747
52,65,48,0.02492,0.02492
54,66,43,0.03557,0.03557
57,68,27,0.07415,0.07415
58,69,17,0.14032,0.14032
66,65,51,0.0157,0.0157
67,66,49,0.023214,0.023214
68,67,50,0.02242,0.02242
69,68,153,-0.05143,0.05143
65,70,45,0.0332,0.0332
66,112,36,0.05014,0.05014
94,75,92,0.000309,0.000309
74,73,156.5,-0.08315,0.08315
69,74,15,0.1918,0.1918
71,70,148,-0.03308,0.03308
72,71,158,-0.08316,0.08316
73,72,156.5,-0.08315,0.08315
82,83,130,-0.00306,0.00306
81,82,40,0.04065,0.04065
80,81,21,0.11971,0.11971
76,74,163,-0.2749,0.2749
79,80,4,0.4621,0.4621
76,79,2,0.59453,0.59453
78,79,14,0.1995,0.1995
77,78,3,0.4675,0.4675
77,76,8,0.3204,0.3204
110,77,1,0.7878,0.7878
83,84,124,-0.001725,0.001725
82,86,39,0.042777,0.042777
81,87,26,0.07731,0.07731
85,26,62,0.00342,0.00342
86,84,146,-0.023051,0.023051
87,86,44,0.03331,0.03331
84,88,147,-0.032828,0.032828
90,88,42,0.037612,0.037612
89,24,68.5,0.00186,0.00186
86,90,25,0.102392,0.102392
91,90,155,-0.07683,0.07683
87,91,24,0.103991,0.103991
91,98,28,0.0718,0.0718
100,98,160,-0.15318,0.15318
113,100,5,0.415375,0.415375
104,100,9,0.31557,0.31557
79,104,6,0.33222,0.33222
105,104,18,0.13729,0.13729
103,105,16,0.16206,0.16206
78,103,12,0.2679,0.2679
88,92,54,0.01216,0.01216
90,92,33,0.055642,0.055642
92,93,32,0.056001,0.056001
96,93,142,-0.01298,0.01298
95,93,152,-0.04728,0.04728
97,95,151,-0.04665,0.04665
97,96,150,-0.03997,0.03997
98,97,159,-0.08646,0.08646
99,96,46,0.02732,0.02732
100,99,162,-0.26098,0.26098
101,99,10,0.28366,0.28366
104,101,22,0.11815,0.11815
102,101,19,0.13556,0.13556
105,102,161,-0.21601,0.21601
103,102,23,0.10522,0.10522
75,106,93,0.000234,0.000234
64,107,104,5.00E-05,0.00005
107,108,103,6.00E-05,0.00006
108,109,102,7.00E-05,0.00007
64,109,108,-0.00013,0.00013
109,63,109,-0.00016,0.00016
75,53,95,0.000212,0.000212
94,61,98,0.00016,0.00016
106,62,101,0.00013,0.00013
43,111,132.5,-0.0044,0.0044
112,71,37,0.05011,0.05011
13,113,41,0.04055,0.04055
110,114,164,-1.063,1.063
,Total,,9.82,
