Id,latitude,longitude,# Result,Label,Weight
1,68.003992,156.744335,-0.00014,1,0.00014
2,77.048656,148.989553,-0.13415,20,0.13415
3,77.048656,144.564523,-0.42174,30,0.42174
4,76.756914,133.129518,-3.53032,36,3.53032
5,71.724012,128.266344,-2.04481,35,2.04481
6,61.439311,128.923532,-0.54165,31,0.54165
7,57.263467,128.923532,-0.25572,27,0.25572
8,56.935213,141.169085,-0.09629,17,0.09629
9,57.008148,152.954562,-0.01624,5,0.01624
10,69.608705,147.543749,-0.07866,12,0.07866
11,71.304566,142.658698,-0.17063,22,0.17063
12,75.717517,134.662939,-1.12576,34,1.12576
13,70.465764,130.697931,-1.12311,33,1.12311
14,68.623987,134.180987,-0.26223,28,0.26223
15,66.235196,138.737498,-0.18378,24,0.18378
16,63.262831,144.389287,-0.09365,16,0.09365
17,72.088689,156.678594,-0.008,3,0.008
18,72.143413,148.047579,-0.08253,14,0.08253
19,73.893997,137.53267,-0.61314,32,0.61314
20,68.003992,135.385869,-0.23531,26,0.23531
21,66.891659,133.019968,-0.2724,29,0.2724
22,64.101678,137.247885,-0.1942,25,0.1942
23,62.387561,140.424278,-0.10382,19,0.10382
24,57.135808,136.305911,-0.13704,21,0.13704
25,61.147569,142.768193,-0.09823,18,0.09823
26,69.13458,141.059535,-0.17455,23,0.17455
27,65.852262,146.360799,-0.08438,15,0.08438
28,56.989937,146.49228,-0.04724,11,0.04724
29,61.092845,148.68289,-0.03373,10,0.03373
30,60.181108,150.457289,-0.02097,9,0.02097
31,68.405181,154.049894,-0.01732,6,0.01732
32,68.058716,147.368513,-0.08002,13,0.08002
33,66.873403,152.450732,-0.02078,8,0.02078
34,66.563405,153.699368,-0.01842,7,0.01842
35,61.512246,153.896536,-0.01162,4,0.01162
36,61.56697,156.96338,-0.00716,2,0.00716
37,69.13458,159.76737,,,
,,,,,
p=D2:D37,,,,,
