,Id
0,179001.0
1,179.0
2,177.0
3,174.0
4,173.0
5,171001.0
6,171.0
7,172.0
8,170.0
9,165.0
10,166.0
11,168.0
12,169.0
13,163.0
14,164.0
15,162.0
16,161.0
17,106.0
18,124.0
19,125.0
20,125001.0
21,126.0
22,127.0
23,128.0
24,129.0
25,130.0
26,132.0
27,131001.0
28,131.0
29,133.0
30,134.0
31,135.0
32,136.0
33,137.0
34,138.0
35,139.0
36,141.0
37,143.0
38,144.0
39,145.0
40,142.0
41,140001.0
42,151.0
43,152.0
44,107.0
45,108.0
46,109.0
47,110.0
48,111.0
49,113.0
50,114.0
51,112.0
52,115.0
53,116.0
54,117.0
55,118.0
56,119.0
57,105.0
58,102.0
59,103.0
60,104.0
61,100.0
62,101.0
63,96.0
64,97.0
65,98.0
66,99.0
67,93.0
68,94.0
69,95.0
70,92.0
71,160.0
72,159001.0
73,159.0
74,156.0
75,157.0
76,158.0
77,155.0
78,154.0
79,153.0
80,55.0
81,59.0
82,60.0
83,61.0
84,62.0
85,147.0
86,150.0
87,148.0
88,149.0
89,63.0
90,64.0
91,65.0
92,66.0
93,67.0
94,68.0
95,69.0
96,70.0
97,71.0
98,72.0
99,56.0
100,57.0
101,58.0
102,53.0
103,54.0
104,52.0
105,46001.0
106,50.0
107,51.0
108,47.0
109,48.0
110,49.0
111,42.0
112,45.0
113,46.0
114,41.0
115,35.0
116,36.0
117,39.0
118,40.0
119,37.0
120,91.0
121,90.0
122,89.0
123,31.0
124,32.0
125,34.0
126,33.0
127,28001.0
128,28.0
129,29.0
130,30.0
131,27.0
132,26.0
133,23.0
134,22.0
135,87.0
136,86.0
137,83.0
138,77.0
139,81.0
140,78.0
141,79.0
142,80.0
143,82.0
144,84.0
145,85.0
146,121.0
147,122.0
148,123.0
149,120.0
150,75.0
151,76.0
152,73.0
153,74.0
154,227.0
155,215001.0
156,215.0
157,219.0
158,220.0
159,221.0
160,222.0
161,223.0
162,223001.0
163,224.0
164,225.0
165,226.0
166,214.0
167,216.0
168,217.0
169,218.0
170,201.0
171,203.0
172,204.0
173,205.0
174,211.0
175,212.0
176,206.0
177,207.0
178,208.0
179,209.0
180,210.0
181,213.0
182,200001.0
183,199.0
184,196.0
185,197.0
186,198.0
187,233.0
188,232.0
189,231.0
190,230.0
191,234.0
192,194.0
193,195.0
194,192.0
195,193.0
196,234001.0
197,235.0
198,236.0
199,237.0
200,238.0
201,240.0
202,239.0
203,190001.0
204,187.0
205,188.0
206,189.0
207,186.0
208,185.0
209,235001.0
210,241.0
211,242.0
212,243.0
213,244.0
214,245.0
215,183.0
216,184.0
217,182.0
218,249.0
219,248.0
220,247.0
221,246.0
222,181.0
223,266.0
224,180004.0
225,190.0
226,191.0
227,180003.0
228,180002.0
229,180001.0
230,180.0
231,287.0
232,286.0
233,285.0
234,284.0
235,200.0
236,274.0
237,275.0
238,276.0
239,265.0
240,268.0
241,269.0
242,271.0
243,270.0
244,318.0
245,317.0
246,316.0
247,315.0
248,313.0
249,314.0
250,312.0
251,310.0
252,311.0
253,309.0
254,297.0
255,298.0
256,299.0
257,296.0
258,294.0
259,293.0
260,291.0
261,295.0
262,288.0
263,289.0
264,290.0
265,282.0
266,277.0
267,278.0
268,279.0
269,280.0
270,281.0
271,272.0
272,273.0
273,264.0
274,257001.0
275,258001.0
276,259001.0
277,260001.0
278,261.0
279,262.0
280,263.0
281,255.0
282,258.0
283,259.0
284,260.0
285,256.0
286,257.0
287,254.0
288,250004.0
289,421.0
290,420.0
291,419.0
292,418.0
293,416.0
294,417.0
295,415.0
296,414.0
297,413.0
298,250001.0
299,21.0
300,319.0
301,320.0
302,20.0
303,19.0
304,18.0
305,302.0
306,303.0
307,305.0
308,306.0
309,307.0
310,321.0
311,11.0
312,322.0
313,323.0
314,301.0
315,300.0
316,324.0
317,368.0
318,367.0
319,369.0
320,325.0
321,365.0
322,362.0
323,360001.0
324,360.0
325,359.0
326,361.0
327,366.0
328,364.0
329,363.0
330,326.0
331,327.0
332,328.0
333,329.0
334,330.0
335,334.0
336,336.0
337,331.0
338,332.0
339,333.0
340,337.0
341,338.0
342,340.0
343,341.0
344,250.0
345,251.0
346,253.0
347,252.0
348,342.0
349,343.0
350,344.0
351,339.0
352,250003.0
353,250002.0
354,412.0
355,411.0
356,410.0
357,409.0
358,408.0
359,407001.0
360,407.0
361,345.0
362,346.0
363,347.0
364,348.0
365,349.0
366,350.0
367,350001.0
368,351.0
369,356.0
370,352.0
371,335.0
372,406.0
373,405.0
374,404.0
375,353.0
376,354.0
377,355.0
378,357.0
379,358.0
380,370.0
381,371.0
382,372.0
383,373.0
384,374.0
385,378.0
386,379.0
387,380.0
388,381.0
389,382.0
390,376.0
391,377.0
392,383.0
393,384.0
394,396001.0
395,397.0
396,398.0
397,400.0
398,401.0
399,402.0
400,403.0
401,10.0
402,9.0
403,8.0
404,2.0
405,1.0
406,3.0
407,385.0
408,17.0
409,16.0
410,15.0
411,13.0
412,12.0
413,14.0
414,6.0
415,5.0
416,601.0
417,387.0
418,388.0
419,389.0
420,390.0
421,391.0
422,392.0
423,393.0
424,394.0
425,395.0
426,396.0
427,4.0
428,7.0
429,228.0
430,229.0
431,256001.0
432,399.0
433,24.0
434,24001.0
435,25.0
436,45001.0
437,71001.0
438,127001.0
439,202001.0
440,301001.0
441,304.0
442,422.0
443,
