Id,latitude,longitude
179001,29.682581,123.32214
179,30.817419,122.942901
177,31.494895,120.961509
174,32.097496,123.410455
173,32.001423,122.53509
171001,33.062741,122.549116
171,33.282401,123.111221
172,33.282401,123.645272
170,33.929205,122.478983
165,34.596758,122.459761
166,34.64953,123.252006
168,34.832656,124.011003
169,35.015331,124.699867
163,35.1741,122.45093
164,35.137565,121.734013
162,35.731597,122.444696
161,36.260226,122.45093
106,37.25118,122.642627
124,37.107747,124.624019
125,37.017086,125.444837
125001,36.906579,126.214224
126,36.964313,127.079199
127,35.703181,124.987153
128,34.88137,126.498912
129,34.759135,127.145176
130,35.003153,127.862093
132,33.438013,126.506185
131001,32.672583,125.753942
131,32.830902,126.526966
133,33.026206,127.187776
134,33.160618,128.058986
135,30.256315,125.135212
136,30.256315,125.922781
137,31.061437,127.538961
138,30.317206,127.87612
139,29.829171,125.767969
141,28.317707,124.955463
143,28.513011,126.318644
144,29.074567,126.852695
145,28.793563,127.513505
142,28.024976,127.063614
140001,28.317707,124.308679
151,28.305528,122.790686
152,28.281172,122.200528
107,37.882198,124.59129
108,38.743701,125.687965
109,38.726561,126.347217
110,38.611093,127.079199
111,39.015232,127.64494
113,37.773044,127.811182
114,37.397771,128.376923
112,38.228152,127.531688
115,41.132005,127.178944
116,41.132005,127.630394
117,40.929033,128.259514
118,39.980928,129.252288
119,40.698998,128.954612
105,37.366198,121.619202
102,37.193897,120.694484
103,37.904299,120.830074
104,38.118998,121.459714
100,37.017086,119.744829
101,38.470365,119.525598
96,37.050464,118.613866
97,35.703181,118.713092
98,35.052317,119.070511
99,34.368527,119.463776
93,37.022047,117.590442
94,38.294456,117.074573
95,39.349008,117.546803
92,36.792464,116.797677
160,35.461869,116.630916
159001,34.104212,117.163409
159,32.925171,117.67616
156,32.00458,118.250732
157,32.636048,119.702749
158,33.001849,120.489799
155,31.097972,118.690753
154,31.220206,119.758855
153,28.999242,119.927694
55,26.900962,120.694484
59,23.546512,122.411447
60,23.632211,120.892415
61,24.94747,119.027912
62,23.603795,119.010249
147,25.459861,125.999668
150,23.001645,127.232973
148,24.406662,126.440208
149,23.946592,128.248605
63,20.524485,124.176206
64,20.517719,122.035845
65,20.688215,120.827477
66,21.372005,119.393643
67,20.078397,125.774722
68,19.492485,126.505666
69,18.491607,126.843344
70,19.663432,127.433502
71,20.029233,128.839282
72,19.314772,130.127135
56,26.326326,119.309484
57,26.277613,118.184755
58,26.326326,116.975867
53,27.986186,117.706811
54,28.034899,115.879712
52,28.863476,119.160386
46001,30.855308,118.035657
50,29.816993,117.341599
51,29.450741,115.401767
47,31.281098,116.638709
48,31.232384,115.823605
49,31.03708,114.248986
42,33.659478,115.418911
45,33.343293,114.028716
46,33.014027,113.012045
41,34.057754,116.281809
35,36.478985,115.157081
36,36.052743,114.094693
39,35.528174,113.925854
40,34.917905,113.785068
37,35.906604,112.506047
91,36.677897,116.104138
90,40.606082,114.71706
89,41.122082,116.566498
31,38.398198,114.287949
32,37.967897,112.934119
34,38.312047,111.216636
33,37.377023,111.519507
28001,40.376498,113.59441
28,39.573631,113.825589
29,39.401781,112.47176
30,39.888914,111.051433
27,41.457662,112.89152
26,42.043574,111.451971
23,42.531609,111.451971
22,42.342169,107.488149
87,42.106721,117.562388
86,42.771116,118.660622
83,43.580298,118.860112
77,44.158091,119.725607
81,43.204574,120.324596
78,42.540179,120.657079
79,41.471193,120.790073
80,40.662012,120.457589
82,45.795399,124.426088
84,43.547371,117.569142
85,43.390857,116.332201
121,43.440924,127.128552
122,44.31235,126.977896
123,45.140476,126.37579
120,42.297515,127.629355
75,47.085849,120.264853
76,44.218532,120.727212
73,46.626682,119.175451
74,46.110682,118.019553
227,48.800286,121.207235
215001,48.887339,122.110135
215,48.98251,124.15075
219,47.487734,122.746528
220,47.493147,122.160527
221,46.752524,122.160527
222,45.837346,121.608293
223,45.140476,121.608293
223001,46.055203,122.813025
224,45.445385,122.963681
225,44.797228,122.931472
226,43.882049,122.379238
214,48.98251,124.816755
216,48.346982,124.816755
217,47.740321,124.816755
218,48.116045,125.548738
201,50.080363,124.683243
203,49.56752,124.861952
204,49.405143,125.979927
205,49.405143,126.666193
211,48.809307,126.801264
212,48.008695,126.835032
206,49.390258,127.620004
207,49.415968,128.543164
208,49.812891,129.874655
209,49.046559,129.980634
210,48.310898,129.980634
213,50.854814,130.686641
200001,50.629289,124.683243
199,51.264817,124.683243
196,51.253541,125.391328
197,51.253541,126.203314
198,50.885485,126.979974
233,52.080764,128.109897
232,52.080764,129.203974
231,52.69374,129.239301
230,52.69374,129.945308
234,52.733883,130.700149
194,53.245824,125.426654
195,52.824995,125.847973
192,53.28732,124.683243
193,53.28732,123.918012
234001,54.253467,130.700149
235,55.4289,130.700149
236,54.618365,129.489702
237,54.61611,128.909415
238,54.240837,128.909415
240,53.507883,128.917208
239,54.282334,126.935816
190001,55.237655,124.685321
187,56.407676,126.214224
188,54.934099,126.214224
189,54.934099,126.946206
186,56.407676,126.979454
185,56.407676,127.877678
235001,56.320624,130.706383
241,57.043204,130.340132
242,57.043204,129.175402
243,57.967403,130.340132
244,58.955651,130.304286
245,59.989906,130.340132
183,61.030476,125.426654
184,60.203252,125.07391
182,61.087759,126.214224
249,62.052101,126.803862
248,62.041276,128.709925
247,62.052101,130.304286
246,61.030025,130.340132
181,64.231118,126.110323
266,53.882254,122.653537
180004,57.371567,123.955936
190,56.407676,124.816755
191,56.407676,124.251014
180003,61.960087,124.023471
180002,63.444038,124.855718
180001,64.202702,126.83659
180,64.439052,127.811182
287,49.65773,120.528762
286,50.079461,121.095541
285,50.009097,121.689336
284,50.218384,122.118447
200,51.264817,124.051005
274,52.475883,120.033673
275,52.520988,121.383347
276,52.811013,121.840512
265,53.87639,121.752196
268,53.87639,119.863276
269,54.00133,119.212856
271,54.225051,117.920327
270,54.930942,118.266318
318,44.542836,111.47431
317,44.894654,112.036934
316,45.92936,112.059273
315,45.909965,112.959055
313,46.222091,113.813641
314,44.972686,113.790783
312,46.456636,114.668226
310,46.749367,115.56749
311,46.551357,116.521301
309,47.514797,116.151413
297,48.174681,116.399736
298,48.936503,116.084916
299,49.502569,114.960188
296,48.018618,117.141589
294,47.862556,117.996695
293,47.830982,118.977
291,48.80615,119.373383
295,48.389381,117.816426
288,49.866566,119.703788
289,49.893177,118.760886
290,49.873782,118.176443
282,50.78445,120.298101
277,51.701883,119.86899
278,52.509712,118.918296
279,52.529107,117.794088
280,52.236376,116.826769
281,51.689254,116.804431
272,55.314334,116.995609
273,53.565166,117.590442
264,56.003085,120.391093
257001,56.523145,120.557334
258001,57.349917,120.79319
259001,56.754082,122.187541
260001,55.085201,120.166147
261,57.124393,118.764523
262,56.046837,118.020072
263,56.693641,117.026779
255,62.654252,122.34547
258,60.790518,122.444696
259,59.242518,122.411447
260,57.923651,122.34547
256,63.084101,122.741853
257,63.628968,123.336166
254,62.683119,121.156843
250004,64.467919,122.520544
421,65.206286,125.176253
420,66.524251,125.37834
419,67.344258,125.513411
418,68.516082,125.749786
416,69.424044,125.918106
417,70.245855,126.946206
415,68.838131,123.793331
414,67.819663,123.5315
413,66.573415,122.966279
250001,68.310855,122.274818
21,43.227127,106.024703
319,47.271682,111.883161
320,47.711454,112.371495
20,44.281679,107.036699
19,44.906832,103.25834
18,46.598266,101.045768
302,48.433583,114.933694
303,48.751573,114.168463
305,49.024006,112.880091
306,49.90716,113.669219
307,50.138097,113.169974
321,48.029444,112.737746
11,46.167965,100.220275
322,48.248202,110.569333
323,48.218884,109.253427
301,51.496205,111.739258
300,51.871478,110.574528
324,49.608566,111.513793
368,50.138097,110.541279
367,50.513821,110.940779
369,50.889544,111.340278
325,55.859201,113.561161
365,54.282334,114.188723
362,54.196184,112.273309
360001,54.240837,109.809297
360,54.356306,109.044066
359,54.471774,108.37858
361,54.177691,110.816617
366,52.84845,111.678995
364,53.142984,110.674792
363,53.373921,109.310053
326,55.343201,112.405783
327,55.85875,112.437992
328,55.887617,111.606264
329,55.916484,110.674792
330,56.956603,113.270239
334,58.11219,112.737746
336,59.299801,113.660387
331,53.9666,115.410599
332,54.110033,116.004913
333,56.6332,114.684331
337,61.908668,112.669691
338,62.086832,114.415228
340,62.233423,116.776377
341,62.321378,118.108908
250,62.555472,119.947436
251,61.851385,119.934967
253,59.873084,119.637811
252,60.962818,119.803013
342,61.622252,118.184755
343,60.790518,118.184755
344,59.905109,117.906301
339,60.532518,114.750308
250003,63.832391,119.8586
250002,64.987978,119.825352
412,67.049272,118.63101
411,66.436296,117.029376
410,65.616289,114.904082
409,64.942873,113.52116
408,64.005594,111.429633
407001,62.98036,107.921416
407,61.105801,105.762353
345,61.765234,111.216636
346,60.819385,110.589593
347,59.672368,110.093986
348,58.52535,109.499672
349,57.436067,109.301221
350,61.449951,108.442999
350001,59.143287,107.583738
351,59.357084,106.725516
356,56.524498,106.058471
352,56.641319,107.070467
335,57.678732,111.473271
406,61.515804,102.52376
405,60.666479,100.027539
404,59.390462,98.6202
353,55.645403,107.070467
354,55.08926,106.935396
355,54.47403,106.767076
357,55.674722,105.552473
358,55.733358,104.540478
370,50.427219,109.7428
371,51.047412,109.111602
372,51.252188,107.660625
373,51.999125,108.251302
374,51.926055,108.723532
378,50.336107,106.974358
379,49.797104,108.339617
380,48.989276,107.718809
381,48.019521,107.471005
382,47.588318,108.215456
376,51.662191,105.687545
377,50.551709,105.423117
383,51.144387,100.64471
384,52.336058,100.930958
396001,55.916484,98.502792
397,55.228183,99.757916
