,Id,Source,Target,Weight
0,2677.0,394.0,606.0,2070.54503611105
1,2678.0,606.0,537.0,171.325106055228
2,2679.0,611.0,629.0,691.167025559398
3,2680.0,639.0,617.0,684.636245761163
4,2681.0,624.0,628.0,468.776408608529
5,2682.0,640.0,610.0,857.139786049398
6,2683.0,630.0,612.0,459.806492062983
7,2684.0,634.0,637.0,1001.33541504774
8,2685.0,618.0,615.0,331.738174183477
9,2686.0,622.0,626.0,974.587740865225
10,2687.0,614.0,632.0,799.999999999939
11,2688.0,638.0,631.0,599.487671510179
12,2689.0,635.0,621.0,1112.92633100698
13,2690.0,621.0,619.0,1262.70069036559
14,2691.0,609.0,631.0,1016.51032251325
15,2692.0,623.0,615.0,492.862124424211
16,2693.0,615.0,612.0,309.756872044238
17,2694.0,613.0,624.0,521.240509534419
18,2695.0,641.0,640.0,1325.74249441219
19,2696.0,618.0,623.0,290.005601453971
20,2697.0,613.0,611.0,466.705977399173
21,2698.0,628.0,613.0,426.324128148303
22,2699.0,612.0,629.0,307.650561462551
23,2700.0,629.0,607.0,179.768431906406
24,2701.0,625.0,610.0,440.860205286853
25,2702.0,611.0,630.0,300.005794608037
26,2703.0,630.0,618.0,290.005601454203
27,2704.0,624.0,638.0,311.867558506712
28,2705.0,638.0,609.0,311.867558506944
29,2706.0,622.0,617.0,299.999999999818
30,2707.0,617.0,635.0,1037.69608410632
31,2708.0,626.0,639.0,703.677508628238
32,2709.0,643.0,608.0,234.296358860474
33,2710.0,608.0,642.0,260.703641139256
34,2711.0,621.0,643.0,827.6605800956
35,2712.0,643.0,619.0,792.157287524855
36,2714.0,614.0,650.0,1020.00000000014
37,2715.0,644.0,646.0,1019.99999999993
38,2717.0,603.0,647.0,194.999999999895
39,2718.0,648.0,600.0,199.999999999971
40,2719.0,647.0,614.0,139.448532434472
41,2720.0,642.0,644.0,817.842712474544
42,2721.0,644.0,647.0,150.55146756539
43,2722.0,637.0,648.0,108.247024887775
44,2723.0,648.0,626.0,191.752975112227
45,2724.0,641.0,625.0,1015.74249441211
46,2725.0,625.0,649.0,146.934718226435
47,2726.0,632.0,650.0,800.000000000199
48,2727.0,650.0,646.0,289.999999999768
49,2728.0,646.0,642.0,768.531094657446
50,2729.0,649.0,640.0,163.065281773648
51,2730.0,640.0,637.0,1459.54805630252
52,2731.0,604.0,652.0,199.999999999837
53,2733.0,653.0,655.0,610.000000000257
54,2734.0,652.0,616.0,547.89874132059
55,2735.0,651.0,636.0,896.373807132614
56,2736.0,616.0,655.0,487.859068884787
57,2737.0,655.0,651.0,299.999999999742
58,2738.0,636.0,653.0,599.999999999603
59,2739.0,653.0,652.0,174.242189795216
60,2741.0,633.0,602.0,220.955495235016
61,2742.0,657.0,658.0,612.717575448631
62,2743.0,658.0,633.0,592.551405416533
63,2744.0,633.0,657.0,600.166170031821
64,2745.0,657.0,627.0,700.000000000049
65,2746.0,659.0,605.0,205.000000000054
66,2747.0,631.0,659.0,162.024054934071
67,2748.0,659.0,628.0,137.975945065411
68,2749.0,537.0,660.0,982.946695364321
69,2750.0,661.0,616.0,300.000000000215
70,2751.0,627.0,661.0,127.140931115623
71,2752.0,661.0,658.0,591.950451464786
72,2753.0,662.0,601.0,204.997727225882
73,2754.0,610.0,662.0,513.876079905588
74,2755.0,662.0,641.0,167.500000000545
75,2756.0,664.0,559.0,578.005260914
76,2757.0,663.0,664.0,606.363647997665
77,2758.0,538.0,663.0,884.554822179061
78,2759.0,663.0,535.0,452.836874571174
79,2760.0,228.0,208.0,412.689216239917
80,2761.0,230.0,215.0,322.83585775559
81,2762.0,227.0,233.0,673.287575208592
82,2763.0,393.0,220.0,687.206665597863
83,2764.0,231.0,225.0,822.932976185563
84,2765.0,214.0,231.0,323.971235487173
85,2766.0,216.0,219.0,358.098894188527
86,2767.0,225.0,232.0,527.025452923381
87,2768.0,213.0,209.0,337.834082711507
88,2769.0,218.0,223.0,452.77854620374
89,2770.0,211.0,229.0,1083.4739142455
90,2771.0,213.0,218.0,259.740931448666
91,2772.0,224.0,228.0,573.224416738333
92,2773.0,212.0,219.0,880.258507462084
93,2774.0,235.0,230.0,720.340732326452
94,2775.0,217.0,232.0,179.216038330598
95,2776.0,215.0,216.0,483.924828670322
96,2777.0,220.0,224.0,405.51614487803
97,2778.0,228.0,214.0,824.992210680311
98,2779.0,222.0,212.0,616.749268526302
99,2780.0,237.0,238.0,137.238416190753
100,2781.0,238.0,239.0,362.316758311073
101,2782.0,239.0,240.0,499.762590025589
102,2783.0,240.0,241.0,514.606042943444
103,2784.0,241.0,242.0,535.641476928366
104,2785.0,242.0,243.0,204.241921638922
105,2786.0,243.0,244.0,497.987470960652
106,2787.0,244.0,245.0,509.872303334329
107,2788.0,245.0,246.0,249.140913001661
108,2789.0,246.0,247.0,487.951631615733
109,2790.0,247.0,248.0,442.047102023827
110,2791.0,248.0,249.0,921.368184294527
111,2792.0,249.0,250.0,1684.90096325916
112,2793.0,250.0,251.0,1393.1895296424
113,2794.0,251.0,252.0,610.64249262698
114,2795.0,252.0,253.0,288.010918631511
115,2796.0,253.0,254.0,476.075618001702
116,2797.0,254.0,255.0,726.979876810354
117,2798.0,256.0,257.0,819.002558839574
118,2799.0,257.0,258.0,609.445071473896
119,2800.0,258.0,259.0,500.948901855612
120,2801.0,259.0,260.0,703.163452927639
121,2802.0,260.0,261.0,1531.53533806927
122,2803.0,261.0,236.0,761.83308917541
123,2807.0,239.0,264.0,442.165268978441
124,2808.0,264.0,265.0,402.258232707154
125,2809.0,264.0,266.0,208.38227917792
