Id,Label,latitude,longitude,# Result,Weight
1,17,38.118821,122.819931,-0.0618,0.0618
2,24,40.863878,125.749327,-0.1342,0.1342
3,22.5,42.745007,127.473483,-0.1341,0.1341
4,1,37.213088,118.450949,-0.0024,0.0024
5,2,38.104883,119.605967,-0.0158,0.0158
6,5,38.690124,120.309023,-0.0217,0.0217
7,6,39.261436,121.179472,-0.0225,0.0225
8,15.5,38.759796,121.916005,-0.0574,0.0574
9,12.5,41.365509,123.439289,-0.0261,0.0261
10,12.5,40.93355,124.041903,-0.0261,0.0261
11,19,41.546658,124.644528,-0.1335,0.1335
12,14,41.839283,123.97495,-0.027,0.027
13,27.5,39.846677,125.23041,-0.2477,0.2477
14,27.5,38.160626,125.196933,-0.2477,0.2477
15,19,42.354852,125.498235,-0.1335,0.1335
16,19,42.981889,124.443657,-0.1335,0.1335
17,21,43.204842,126.435649,-0.134,0.134
18,25.5,39.902411,128.009154,-0.1342,0.1342
19,25.5,39.902411,129.649613,-0.1342,0.1342
20,3.5,38.230298,121.279903,-0.0158,0.0158
21,3.5,37.519642,120.409453,-0.0158,0.0158
22,29,39.846677,126.485859,-0.2616,0.2616
23,30,38.174555,126.569556,-0.2673,0.2673
24,22.5,38.495047,128.86286,-0.1341,0.1341
25,11,42.006493,122.66928,-0.0259,0.0259
26,9,40.710596,122.752978,-0.023,0.023
27,8,40.306504,123.355592,-0.0229,0.0229
28,10,41.379447,121.899261,-0.023,0.023
29,7,40.013888,121.916005,-0.0226,0.0226
30,15.5,39.595857,122.585583,-0.0574,0.0574
0,R,36.223754,120.191848,,
