Id,latitude,longitude,# Result,rank
1,55.75591,173.639309,46.179302,114
2,59.452707,173.415922,46.1727,110
3,59.283112,169.492621,46.161297,64
4,56.481197,169.687955,46.18256,107
5,54.592204,170.327985,46.2258,108
6,49.681185,171.263093,46.294525,109
7,49.721779,174.129722,46.310997,94
8,46.936101,171.217377,46.301785,63
9,44.08006,171.198675,46.31361,75
10,43.98985,174.15258,46.315086,106
11,40.395893,168.770509,46.32028,62
12,38.302124,172.472501,46.321613,53
13,60.64528,136.646402,43.19844,61
14,37.691404,166.46079,46.324066,77
15,35.819551,168.993896,46.326042,78
16,28.549546,171.732726,46.337532,76
17,30.812909,170.063037,46.337276,79
18,34.110978,166.702879,46.32813,103
19,36.240831,164.563558,46.32396,105
20,38.860523,161.980579,46.3153,102
21,42.424711,164.89708,46.31473,104
22,44.743102,165.085141,46.312077,101
23,47.345654,165.365674,46.2974,80
24,49.853485,165.525681,46.286896,99
25,53.827226,165.634777,46.247417,13
26,56.521791,165.581788,46.171402,100
27,59.219064,165.51633,46.081844,113
28,64.049797,165.01241,45.79007,81
29,65.834146,158.402229,45.37407,96
30,63.140482,157.933636,45.17128,98
31,59.047665,157.930519,45.436794,97
32,59.157721,162.096949,46.002155,91
33,56.520889,161.993048,46.15087,87
34,61.187441,165.429053,45.977375,95
35,53.812792,161.869405,46.209167,93
36,51.032527,161.787324,46.2548,82
37,47.816549,161.570171,46.285587,86
38,44.716039,160.862605,46.30158,90
39,41.007515,158.562237,46.305084,92
40,42.633095,154.394768,46.299633,83
41,46.730423,156.79592,46.29291,84
42,49.010926,157.619855,46.277092,88
43,51.297744,157.725834,46.220467,59
44,53.884058,157.925324,45.871,74
45,56.52991,157.914934,45.49689,73
46,58.898819,154.673223,45.15479,72
47,56.604784,154.585946,45.317123,69
48,53.917435,154.502825,45.317467,71
49,51.633324,153.927214,46.26141,70
50,48.554464,153.305886,46.289738,112
51,44.464354,150.807067,46.298733,68
52,46.107976,147.58302,43.932575,67
53,69.24588,159.149278,38.277485,66
54,50.198989,149.780526,43.93521,65
55,52.055506,150.114048,43.9402,52
56,54.05275,150.535886,43.943974,54
57,56.648085,150.461077,43.944786,55
58,58.822141,150.320811,43.96175,56
59,63.514853,150.304187,43.32639,57
60,63.339846,154.363598,44.348568,58
61,66.553118,155.858733,38.2777,60
62,71.364005,162.088636,38.277325,46
63,75.615591,156.206802,38.276756,30
64,70.149781,150.909929,38.263428,47
65,47.829178,144.250915,43.92687,48
66,51.632422,146.405822,43.92678,29
67,54.305337,147.157026,43.925873,31
68,56.599372,147.347165,43.92337,45
69,58.667882,147.426129,43.889572,28
70,49.839052,140.931279,43.91892,44
71,53.220114,142.668503,43.907547,34
72,56.674246,143.192164,43.835007,32
73,58.489267,143.265934,43.79013,27
74,58.556022,145.372007,43.740814,85
75,71.292739,157.0058,38.27681,33
76,63.534699,146.112821,42.734657,3
77,69.000509,146.143991,40.78887,26
78,69.55981,141.314673,42.314037,2
79,65.134118,140.556196,42.835167,1
80,60.625434,139.667843,43.179718,4
81,58.480246,139.900581,43.24306,35
82,54.618365,139.430948,43.26988,43
83,50.871051,138.213229,43.272636,5
84,51.121835,135.181398,43.273067,25
85,57.855092,165.569319,46.136776,111
86,56.206057,135.50453,43.271255,36
87,58.188868,135.428682,43.266552,49
88,51.514247,132.056056,43.273136,42
89,52.059114,165.613997,46.284004,89
90,55.093771,131.402519,43.271282,37
91,56.67154,130.466371,43.266167,24
92,53.060443,126.277084,43.271385,50
93,54.208813,123.710729,43.269688,41
94,67.265775,153.66954,38.275887,6
95,56.786106,125.05313,43.266735,23
96,59.434665,121.35945,43.24911,51
97,59.356182,126.34358,43.25741,40
98,59.109008,128.742654,43.250427,38
99,64.165265,121.774015,43.188236,8
100,61.520315,129.36606,43.19851,39
101,66.860733,122.991734,43.114,7
102,70.717201,125.9872,43.05425,22
103,73.731109,133.42651,42.925076,9
104,65.752957,131.133416,43.07577,21
105,67.353279,132.186972,43.05392,10
106,73.74013,159.725928,38.277023,20
107,72.211977,149.379468,38.26709,11
108,75.289032,150.265743,38.271416,12
109,73.263823,154.261775,38.274487,19
110,69.627467,148.310327,38.212875,14
111,50.256723,157.716483,46.251682,15
112,52.324331,144.574047,43.92023,18
113,60.710231,133.073247,43.200882,17
114,71.383851,147.460417,0,16
