Id,latitude,longitude,# Result,Label,Weight
1,68.003992,156.744335,-0.00015,1,0.00015
2,77.048656,148.989553,-0.07762,10,0.07762
3,77.048656,144.564523,-0.08527,13,0.08527
4,76.756914,133.129518,-0.08802,17,0.08802
5,71.724012,128.266344,-0.10152,21,0.10152
6,61.439311,128.923532,-0.12687,27,0.12687
7,57.263467,128.923532,-0.20345,30,0.20345
8,56.935213,141.169085,-0.33314,32,0.33314
9,57.008148,152.954562,-0.04783,8,0.04783
10,69.608705,147.543749,-0.08166,12,0.08166
11,71.304566,142.658698,-0.0867,14,0.0867
12,75.717517,134.662939,-0.08757,16,0.08757
13,70.465764,130.697931,-0.0918,18,0.0918
14,68.623987,134.180987,-0.1092,24,0.1092
15,66.235196,138.737498,-0.10713,22,0.10713
16,63.262831,144.389287,-0.39541,35,0.39541
17,72.088689,156.678594,-0.01032,2,0.01032
18,72.143413,148.047579,-0.081,11,0.081
19,73.893997,137.53267,-0.08718,15,0.08718
20,68.003992,135.385869,-0.10814,23,0.10814
21,66.891659,133.019968,-0.11337,25,0.11337
22,64.101678,137.247885,-0.11463,26,0.11463
23,62.387561,140.424278,-0.36977,33,0.36977
24,57.135808,136.305911,-0.32194,31,0.32194
25,61.147569,142.768193,-0.38144,34,0.38144
26,69.13458,141.059535,-0.09554,19,0.09554
27,65.852262,146.360799,-0.42244,36,0.42244
28,56.989937,146.49228,-0.15744,28,0.15744
29,61.092845,148.68289,-0.09943,20,0.09943
30,60.181108,150.457289,-0.05718,9,0.05718
31,68.405181,154.049894,-0.01809,4,0.01809
32,68.058716,147.368513,-0.17638,29,0.17638
33,66.873403,152.450732,-0.0279,7,0.0279
34,66.563405,153.699368,-0.02151,5,0.02151
35,61.512246,153.896536,-0.02212,6,0.02212
36,61.56697,156.96338,-0.01701,3,0.01701
37,69.13458,159.76737,,,
