Id,latitude,longitude,# Result,Label,Weight
1,55.75591,173.639309,-0.07992,51,0.07992
2,59.452707,173.415922,-0.07992,51,0.07992
3,59.283112,169.492621,-0.07992,53.5,0.07992
4,56.481197,169.687955,-0.07993,56,0.07993
5,54.592204,170.327985,-0.07993,59.5,0.07993
6,49.681185,171.263093,-0.07993,59.5,0.07993
7,49.721779,174.129722,-0.07995,83,0.07995
8,46.936101,171.217377,-0.07995,83,0.07995
9,44.08006,171.198675,-0.07994,63,0.07994
10,43.98985,174.15258,-0.07995,89,0.07995
11,40.395893,168.770509,-0.07994,69,0.07994
12,38.302124,172.472501,-0.07994,69,0.07994
13,60.64528,136.646402,-0.0744,34,0.0744
14,37.691404,166.46079,-0.07994,76.5,0.07994
15,35.819551,168.993896,-0.07993,59.5,0.07993
16,28.549546,171.732726,-0.07994,69,0.07994
17,30.812909,170.063037,-0.07994,69,0.07994
18,34.110978,166.702879,-0.07994,69,0.07994
19,36.240831,164.563558,-0.07995,83,0.07995
20,38.860523,161.980579,-0.07994,69,0.07994
21,42.424711,164.89708,-0.07994,63,0.07994
22,44.743102,165.085141,-0.07994,76.5,0.07994
23,47.345654,165.365674,-0.07994,76.5,0.07994
24,49.853485,165.525681,-0.07993,56,0.07993
25,53.827226,165.634777,-0.07994,63,0.07994
26,56.521791,165.581788,-0.07992,51,0.07992
27,59.219064,165.51633,-0.07991,49,0.07991
28,64.049797,165.01241,-0.07982,46,0.07982
29,65.834146,158.402229,-0.07969,45,0.07969
30,63.140482,157.933636,-0.07963,44,0.07963
31,59.047665,157.930519,-0.07999,92.5,0.07999
32,59.157721,162.096949,-0.07994,76.5,0.07994
33,56.520889,161.993048,-0.07993,56,0.07993
34,61.187441,165.429053,-0.07988,48,0.07988
35,53.812792,161.869405,-0.07993,59.5,0.07993
36,51.032527,161.787324,-0.07994,69,0.07994
37,47.816549,161.570171,-0.07995,89,0.07995
38,44.716039,160.862605,-0.07994,76.5,0.07994
39,41.007515,158.562237,-0.07995,89,0.07995
40,42.633095,154.394768,-0.07995,83,0.07995
41,46.730423,156.79592,-0.07994,69,0.07994
42,49.010926,157.619855,-0.07995,83,0.07995
43,51.297744,157.725834,-0.07995,89,0.07995
44,53.884058,157.925324,-0.07999,92.5,0.07999
45,56.52991,157.914934,-0.08003,94,0.08003
46,58.898819,154.673223,-0.08023,98,0.08023
47,56.604784,154.585946,-0.08014,97,0.08014
48,53.917435,154.502825,-0.08013,96,0.08013
49,51.633324,153.927214,-0.07995,89,0.07995
50,48.554464,153.305886,-0.07995,83,0.07995
51,44.464354,150.807067,-0.07995,83,0.07995
52,46.107976,147.58302,-0.08071,108,0.08071
53,69.24588,159.149278,-0.06721,1,0.06721
54,50.198989,149.780526,-0.08073,109,0.08073
55,52.055506,150.114048,-0.08078,110,0.08078
56,54.05275,150.535886,-0.08084,111,0.08084
57,56.648085,150.461077,-0.08085,112,0.08085
58,58.822141,150.320811,-0.08107,113,0.08107
59,63.514853,150.304187,-0.07823,42,0.07823
