Id,Label,latitude,longitude,# Result,Weight
1,17,38.118821,122.819931,-0.0618,0.0618
2,20,40.863878,125.749327,-0.134,0.134
3,28,42.745007,127.473483,-0.1699,0.1699
4,1,37.213088,118.450949,-0.0025,0.0025
5,3.5,38.104883,119.605967,-0.0161,0.0161
6,5,38.690124,120.309023,-0.0219,0.0219
7,6,39.261436,121.179472,-0.0228,0.0228
8,15.5,38.759796,121.916005,-0.0574,0.0574
9,13,41.365509,123.439289,-0.0274,0.0274
10,11.5,40.93355,124.041903,-0.0273,0.0273
11,23.5,41.546658,124.644528,-0.1611,0.1611
12,14,41.839283,123.97495,-0.0285,0.0285
13,20,39.846677,125.23041,-0.134,0.134
14,20,38.160626,125.196933,-0.134,0.134
15,23.5,42.354852,125.498235,-0.1611,0.1611
16,25,42.981889,124.443657,-0.1612,0.1612
17,30,43.204842,126.435649,-7.212,7.212
18,26,39.902411,128.009154,-0.1698,0.1698
19,28,39.902411,129.649613,-0.1699,0.1699
20,2,38.230298,121.279903,-0.016,0.016
21,3.5,37.519642,120.409453,-0.0161,0.0161
22,20,39.846677,126.485859,-0.134,0.134
23,20,38.174555,126.569556,-0.134,0.134
24,28,38.495047,128.86286,-0.1699,0.1699
25,11.5,42.006493,122.66928,-0.0273,0.0273
26,9,40.710596,122.752978,-0.0235,0.0235
27,9,40.306504,123.355592,-0.0235,0.0235
28,9,41.379447,121.899261,-0.0235,0.0235
29,7,40.013888,121.916005,-0.0231,0.0231
30,15.5,39.595857,122.585583,-0.0574,0.0574
0,,36.223754,120.191848,-19.05,19.05
