"(11.0, 12.0)",0.439784946,1
"(2.0, 11.0)",0.421505376,2
"(9.0, 12.0)",0.396774194,3
"(1.0, 2.0)",0.3,4
"(9.0, 26.0)",0.274193548,5
"(2.0, 3.0)",0.248387097,6
"(2.0, 13.0)",0.232258065,7
"(7.0, 29.0)",0.186021505,8
"(0.0, 1.0)",0.183870968,9.5
"(29.0, 26.0)",0.183870968,9.5
"(3.0, 18.0)",0.180645161,11
"(11.0, 15.0)",0.147311828,12
"(0.0, 4.0)",0.140860215,13
"(6.0, 7.0)",0.138709677,14
"(8.0, 7.0)",0.137634409,15
"(1.0, 8.0)",0.129032258,16
"(13.0, 22.0)",0.124731183,18
"(18.0, 19.0)",0.124731183,18
"(5.0, 21.0)",0.124731183,18
"(4.0, 5.0)",0.108602151,20
"(5.0, 6.0)",0.095698925,21
"(13.0, 14.0)",0.064516129,26.5
"(15.0, 16.0)",0.064516129,26.5
"(19.0, 24.0)",0.064516129,26.5
"(21.0, 20.0)",0.064516129,26.5
"(23.0, 22.0)",0.064516129,26.5
"(26.0, 27.0)",0.064516129,26.5
"(26.0, 28.0)",0.064516129,26.5
"(8.0, 30.0)",0.064516129,26.5
"(9.0, 10.0)",0.064516129,26.5
"(9.0, 25.0)",0.064516129,26.5
"(3.0, 17.0)",0.033333333,32
"(17.0, 15.0)",0.031182796,33
"(14.0, 23.0)",0,34.5
"(18.0, 24.0)",0,34.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
