,# Result,rank
0,-0.20560455,9
1,-0.23209381,25
2,-0.2321701,10
3,-0.16252136,12
4,-1.0644913,28
5,-1.4591827,26
6,-1.5179749,27
7,-0.35056686,29
8,-5.597206,7
9,-5.5972023,6
10,-0.25479507,20
11,-5.563049299999999,21
12,-0.23202133,5
13,-0.23202515,8
14,-0.25479507,30
15,-0.25471878,11
16,-0.24206924,15
17,-0.23209763,16
18,-0.23209763,17
19,-1.0644951,24
20,-1.0644913,3
21,-0.23209763,19
22,-0.23202515,22
23,-0.23217392,18
24,-5.5972023,2
25,-2.1707306,23
26,-2.170662,14
27,-2.1707382,13
28,-1.6751366,1
29,-0.35056686,4
30,0.0,31
