2,0.533333333,1
1,0.328735632,2
11,0.291954023,3
9,0.248275862,4
3,0.222988506,5
7,0.213793103,6.5
26,0.213793103,6.5
12,0.2,8
13,0.188505747,9
8,0.174712644,10
5,0.151724138,11
0,0.135632184,12.5
29,0.135632184,12.5
18,0.128735632,14
4,0.105747126,15
6,0.094252874,16
15,0.085057471,17
21,0.066666667,18
14,0.032183908,19.5
22,0.032183908,19.5
17,0.018390805,21
10,0,26.5
16,0,26.5
19,0,26.5
20,0,26.5
23,0,26.5
24,0,26.5
25,0,26.5
27,0,26.5
28,0,26.5
30,0,26.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
