,Id,latitude,longitude
0,1.0,32.800591,125.513931
1,2.0,33.170271,125.491592
2,3.0,33.153311,125.099262
3,4.0,32.873120,125.118795
4,5.0,32.684220,125.182798
5,6.0,32.193118,125.276309
6,7.0,32.197178,125.562972
7,8.0,31.918610,125.271738
8,9.0,31.633006,125.269867
9,10.0,31.623985,125.565258
10,11.0,31.264589,125.027051
11,12.0,31.055212,125.397250
12,13.0,33.289528,121.814640
13,14.0,30.994140,124.796079
14,15.0,30.806955,125.049390
15,16.0,30.079955,125.323273
16,17.0,30.306291,125.156304
17,18.0,30.636098,124.820288
18,19.0,30.849083,124.606356
19,20.0,31.111052,124.348058
20,21.0,31.467471,124.639708
21,22.0,31.699310,124.658514
22,23.0,31.959565,124.686567
23,24.0,32.210349,124.702568
24,25.0,32.607723,124.713478
25,26.0,32.877179,124.708179
26,27.0,33.146906,124.701633
27,28.0,33.629980,124.651241
28,29.0,33.808415,123.990223
29,30.0,33.539048,123.943364
30,31.0,33.129766,123.943052
31,32.0,33.140772,124.359695
32,33.0,32.877089,124.349305
33,34.0,33.343744,124.692905
34,35.0,32.606279,124.336941
35,36.0,32.328253,124.328732
36,37.0,32.006655,124.307017
37,38.0,31.696604,124.236260
38,39.0,31.325752,124.006224
39,40.0,31.488310,123.589477
40,41.0,31.898042,123.829592
41,42.0,32.126093,123.911986
42,43.0,32.354774,123.922583
43,44.0,32.613406,123.942532
44,45.0,32.877991,123.941493
45,46.0,33.114882,123.617322
46,47.0,32.885478,123.608595
47,48.0,32.616744,123.600283
48,49.0,32.388332,123.542721
49,50.0,32.080446,123.480589
50,51.0,31.671435,123.230707
51,52.0,31.835798,122.908302
52,53.0,34.149588,124.064928
53,54.0,32.244899,123.128053
54,55.0,32.430551,123.161405
55,56.0,32.630275,123.203589
56,57.0,32.889809,123.196108
57,58.0,33.107214,123.182081
58,59.0,33.576485,123.180419
59,60.0,33.558985,123.586360
60,61.0,33.880312,123.735873
61,62.0,34.361400,124.358864
62,63.0,34.786559,123.770680
63,64.0,34.239978,123.240993
64,65.0,32.007918,122.575092
65,66.0,32.388242,122.790582
66,67.0,32.655534,122.865703
67,68.0,32.884937,122.884716
68,69.0,33.091788,122.892613
69,70.0,32.208905,122.243128
70,71.0,32.547011,122.416850
71,72.0,32.892425,122.469216
72,73.0,33.073927,122.476593
73,74.0,33.080602,122.687201
74,75.0,34.354274,123.850580
75,76.0,33.578470,122.761282
76,77.0,34.125051,122.764399
77,78.0,34.180981,122.281467
78,79.0,33.738412,122.205620
79,80.0,33.287543,122.116784
80,81.0,33.073025,122.140058
81,82.0,32.686837,122.093095
82,83.0,32.312105,121.971323
83,84.0,32.337183,121.668140
84,85.0,33.010509,124.706932
85,86.0,32.845606,121.700453
86,87.0,33.043887,121.692868
87,88.0,32.376425,121.355606
88,89.0,32.430911,124.711400
89,90.0,32.734377,121.290252
90,91.0,32.892154,121.196637
91,92.0,32.531044,120.777708
92,93.0,32.645881,120.521073
93,94.0,33.951578,123.516954
94,95.0,32.903611,120.655313
95,96.0,33.168466,120.285945
96,97.0,33.160618,120.784358
97,98.0,33.135901,121.024265
98,99.0,33.641527,120.327401
99,100.0,33.377031,121.086606
100,101.0,33.911073,120.449173
101,102.0,34.296720,120.748720
102,103.0,34.598111,121.492651
103,104.0,33.800296,121.263342
104,105.0,33.960328,121.368697
105,106.0,34.599013,124.122593
106,107.0,34.446198,123.087947
107,108.0,34.753903,123.176574
108,109.0,34.551382,123.576178
109,110.0,34.187747,122.981033
110,111.0,32.250672,123.921648
111,112.0,32.457433,122.607405
112,113.0,33.296023,121.457325
113,,34.363385,122.896042
