,Id,latitude,longitude
0,1.0,55.755910,173.639309
1,2.0,59.452707,173.415922
2,3.0,59.283112,169.492621
3,4.0,56.481197,169.687955
4,5.0,54.592204,170.327985
5,6.0,49.681185,171.263093
6,7.0,49.721779,174.129722
7,8.0,46.936101,171.217377
8,9.0,44.080060,171.198675
9,10.0,43.989850,174.152580
10,11.0,40.395893,168.770509
11,12.0,38.302124,172.472501
12,13.0,60.645280,136.646402
13,14.0,37.691404,166.460790
14,15.0,35.819551,168.993896
15,16.0,28.549546,171.732726
16,17.0,30.812909,170.063037
17,18.0,34.110978,166.702879
18,19.0,36.240831,164.563558
19,20.0,38.860523,161.980579
20,21.0,42.424711,164.897080
21,22.0,44.743102,165.085141
22,23.0,47.345654,165.365674
23,24.0,49.853485,165.525681
24,25.0,53.827226,165.634777
25,26.0,56.521791,165.581788
26,27.0,59.219064,165.516330
27,28.0,64.049797,165.012410
28,29.0,65.834146,158.402229
29,30.0,63.140482,157.933636
30,31.0,59.047665,157.930519
31,32.0,59.157721,162.096949
32,33.0,56.520889,161.993048
33,34.0,61.187441,165.429053
34,35.0,53.812792,161.869405
35,36.0,51.032527,161.787324
36,37.0,47.816549,161.570171
37,38.0,44.716039,160.862605
38,39.0,41.007515,158.562237
39,40.0,42.633095,154.394768
40,41.0,46.730423,156.795920
41,42.0,49.010926,157.619855
42,43.0,51.297744,157.725834
43,44.0,53.884058,157.925324
44,45.0,56.529910,157.914934
45,46.0,58.898819,154.673223
46,47.0,56.604784,154.585946
47,48.0,53.917435,154.502825
48,49.0,51.633324,153.927214
49,50.0,48.554464,153.305886
50,51.0,44.464354,150.807067
51,52.0,46.107976,147.583020
52,53.0,69.245880,159.149278
53,54.0,50.198989,149.780526
54,55.0,52.055506,150.114048
55,56.0,54.052750,150.535886
56,57.0,56.648085,150.461077
57,58.0,58.822141,150.320811
58,59.0,63.514853,150.304187
59,60.0,63.339846,154.363598
60,61.0,66.553118,155.858733
61,62.0,71.364005,162.088636
62,63.0,75.615591,156.206802
63,64.0,70.149781,150.909929
64,65.0,47.829178,144.250915
65,66.0,51.632422,146.405822
66,67.0,54.305337,147.157026
67,68.0,56.599372,147.347165
68,69.0,58.667882,147.426129
69,70.0,49.839052,140.931279
70,71.0,53.220114,142.668503
71,72.0,56.674246,143.192164
72,73.0,58.489267,143.265934
73,74.0,58.556022,145.372007
74,75.0,71.292739,157.005800
75,76.0,63.534699,146.112821
76,77.0,69.000509,146.143991
77,78.0,69.559810,141.314673
78,79.0,65.134118,140.556196
79,80.0,60.625434,139.667843
80,81.0,58.480246,139.900581
81,82.0,54.618365,139.430948
82,83.0,50.871051,138.213229
83,84.0,51.121835,135.181398
84,85.0,57.855092,165.569319
85,86.0,56.206057,135.504530
86,87.0,58.188868,135.428682
87,88.0,51.514247,132.056056
88,89.0,52.059114,165.613997
89,90.0,55.093771,131.402519
90,91.0,56.671540,130.466371
91,92.0,53.060443,126.277084
92,93.0,54.208813,123.710729
93,94.0,67.265775,153.669540
94,95.0,56.786106,125.053130
95,96.0,59.434665,121.359450
96,97.0,59.356182,126.343580
97,98.0,59.109008,128.742654
98,99.0,64.165265,121.774015
99,100.0,61.520315,129.366060
100,101.0,66.860733,122.991734
101,102.0,70.717201,125.987200
102,103.0,73.731109,133.426510
103,104.0,65.752957,131.133416
104,105.0,67.353279,132.186972
105,106.0,73.740130,159.725928
106,107.0,72.211977,149.379468
107,108.0,75.289032,150.265743
108,109.0,73.263823,154.261775
109,110.0,69.627467,148.310327
110,111.0,50.256723,157.716483
111,112.0,52.324331,144.574047
112,113.0,60.710231,133.073247
113,,71.383851,147.460417
