Id,Label,latitude,longitude,# Result
1,23,38.118821,122.819931,-0.0618
2,22,40.863878,125.749327,-0.1342
3,14,42.745007,127.473483,-0.1341
4,13,37.213088,118.450949,-0.0024
5,2,38.104883,119.605967,-0.0158
6,19,38.690124,120.309023,-0.0217
7,18,39.261436,121.179472,-0.0225
8,3,38.759796,121.916005,-0.0574
9,24,41.365509,123.439289,-0.0261
10,17,40.93355,124.041903,-0.0261
11,15,41.546658,124.644528,-0.1335
12,16,41.839283,123.97495,-0.027
13,11,39.846677,125.23041,-0.2477
14,1,38.160626,125.196933,-0.2477
15,8,42.354852,125.498235,-0.1335
16,30,42.981889,124.443657,-0.1335
17,12,43.204842,126.435649,-0.134
18,10,39.902411,128.009154,-0.1342
19,9,39.902411,129.649613,-0.1342
20,25,38.230298,121.279903,-0.0158
21,26,37.519642,120.409453,-0.0158
22,28,39.846677,126.485859,-0.2616
23,27,38.174555,126.569556,-0.2673
24,29,38.495047,128.86286,-0.1341
25,7,42.006493,122.66928,-0.0259
26,6,40.710596,122.752978,-0.023
27,20,40.306504,123.355592,-0.0229
28,21,41.379447,121.899261,-0.023
29,5,40.013888,121.916005,-0.0226
30,4,39.595857,122.585583,-0.0574
0,31,36.223754,120.191848,
